RUN	StarTest.Framework.StarSim	starsim	1624895277267	StarTest.Framework.StarSim-SIMULATION_1_10:SIMULATION_2_0:SIMULATION_3_0:Iterations_100	3.5.1
USER	Users_1	START	1624895278710
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895296193	1624895296576	OK	 
GROUP	,GetStarUIMemberDetail	1624895296193	1624895296577	383	OK
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895296235	1624895296667	OK	 
GROUP	,GetStarUIMemberDetail	1624895296234	1624895296668	432	OK
REQUEST	,ChatTranscript	ChatTranscript	1624895296996	1624895297076	OK	 
GROUP	,ChatTranscript	1624895296996	1624895297077	80	OK
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895296836	1624895297219	OK	 
GROUP	,GetStarUIMemberDetail	1624895296835	1624895297219	383	OK
REQUEST	,GetStarNote	GetStarNote	1624895297169	1624895297394	OK	 
GROUP	,GetStarNote	1624895297168	1624895297395	225	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895296773	1624895297424	OK	 
GROUP	,GetStarUIMemberList	1624895296773	1624895297425	651	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895297254	1624895297625	OK	 
GROUP	,GetEpisodeOfCare	1624895297253	1624895297625	371	OK
REQUEST	,ChatTranscript	ChatTranscript	1624895297580	1624895297655	OK	 
GROUP	,ChatTranscript	1624895297579	1624895297655	75	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895297263	1624895297747	OK	 
GROUP	,GetEpisodeOfCare	1624895297262	1624895297747	484	OK
REQUEST	,ChatTranscript	ChatTranscript	1624895297673	1624895297769	OK	 
GROUP	,ChatTranscript	1624895297672	1624895297769	96	OK
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895297422	1624895297879	OK	 
GROUP	,GetStarUIMemberDetail	1624895297421	1624895297880	457	OK
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895297542	1624895297992	OK	 
GROUP	,GetStarUIMemberDetail	1624895297541	1624895297993	450	OK
REQUEST	,GetStarNote	GetStarNote	1624895298081	1624895298272	OK	 
GROUP	,GetStarNote	1624895298080	1624895298272	191	OK
REQUEST	,ChatTranscript	ChatTranscript	1624895298224	1624895298311	OK	 
GROUP	,ChatTranscript	1624895298224	1624895298315	87	OK
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895298427	1624895298808	OK	 
GROUP	,GetStarUIMemberDetail	1624895298426	1624895298808	381	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895298396	1624895298838	OK	 
GROUP	,GetEpisodeOfCare	1624895298396	1624895298838	442	OK
REQUEST	,GetStarNote	GetStarNote	1624895298660	1624895299008	OK	 
GROUP	,GetStarNote	1624895298660	1624895299009	348	OK
REQUEST	,ChatTranscript	ChatTranscript	1624895298886	1624895299013	OK	 
GROUP	,ChatTranscript	1624895298885	1624895299013	127	OK
REQUEST	,GetStarNote	GetStarNote	1624895298774	1624895299137	OK	 
GROUP	,GetStarNote	1624895298773	1624895299138	363	OK
REQUEST	,ChatTranscript	ChatTranscript	1624895298998	1624895299154	OK	 
GROUP	,ChatTranscript	1624895298997	1624895299154	156	OK
REQUEST	,GetStarNote	GetStarNote	1624895299321	1624895299528	OK	 
GROUP	,GetStarNote	1624895299320	1624895299529	207	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895298630	1624895299542	OK	 
GROUP	,GetStarUIMemberList	1624895298630	1624895299543	912	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895298750	1624895299543	OK	 
GROUP	,GetStarUIMemberList	1624895298749	1624895299543	793	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895299276	1624895299659	OK	 
GROUP	,GetEpisodeOfCare	1624895299275	1624895299659	383	OK
REQUEST	,ChatTranscript	ChatTranscript	1624895299812	1624895299961	OK	 
GROUP	,ChatTranscript	1624895299811	1624895299961	149	OK
REQUEST	,GetStarNote	GetStarNote	1624895300019	1624895300548	OK	 
GROUP	,GetStarNote	1624895300019	1624895300549	529	OK
REQUEST	,GetStarNote	GetStarNote	1624895300160	1624895300610	OK	 
GROUP	,GetStarNote	1624895300159	1624895300611	450	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895300141	1624895300867	OK	 
GROUP	,GetEpisodeOfCare	1624895300141	1624895300867	726	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895300013	1624895300921	OK	 
GROUP	,GetEpisodeOfCare	1624895300013	1624895300922	908	OK
REQUEST	,GetStarUIMemberList	GetStarUIMemberList	1624895299842	1624895301048	OK	 
GROUP	,GetStarUIMemberList	1624895299842	1624895301049	1206	OK
REQUEST	,GetStarNote	GetStarNote	1624895300967	1624895301343	OK	 
GROUP	,GetStarNote	1624895300966	1624895301343	376	OK
REQUEST	,GetStarUIMemberDetail	GetStarUIMemberDetail	1624895300549	1624895301351	OK	 
GROUP	,GetStarUIMemberDetail	1624895300549	1624895301352	802	OK
REQUEST	,GetEpisodeOfCare	GetEpisodeOfCare	1624895300534	1624895301407	OK	 
